l,b,yield,alphaCadence,alphaTexp
5.8,-3.8,0.0167342324128674,-0.9047038383943748,1.1443512043157194
5.8,-3.6,0.0205372733748966,-0.7795282138742825,1.0898479006414021
5.8,-3.4,0.020190455674582802,-0.8458269593052063,1.11979662642131
5.8,-3.2,0.0228679527715002,-0.8471943819349592,1.0836139941779088
5.8,-3.0,0.024668716702322402,-0.7845433582916576,1.05441510007683
5.8,-2.8,0.028705875883761604,-0.737671827638013,0.7283104224336677
5.8,-2.6,0.0284872442390322,-0.7952055348773125,1.0655153793586367
5.8,-2.4,0.030376395553911,-0.78678555161694,1.0146501919885096
5.8,-2.2,0.032771932012098604,-0.7819757967852642,1.187234928415473
5.8,-2.0,0.0344706017493408,-0.7661209014193215,0.97355931275341
5.8,-1.8,0.0368393341101624,-0.7615986344246579,0.9718659495362593
5.8,-1.6,0.0372431370340116,-0.7298171478741283,0.9711612517736097
5.8,-1.4,0.044378215553530796,-0.7436527759632575,1.0025799544060996
5.8,-1.2,0.0267603139853532,-0.7286816371953072,1.0553924380919493
5.8,-1.0,0.0224395369580946,-0.7121881283535374,1.0487547983511547
5.8,-0.8,0.0172580951486598,-0.6865733760935545,1.1022466108967452
5.8,-0.6,0.0231562701104754,-0.6629628286218994,1.2373213258696683
5.8,-0.4,0.02428124444367,-0.6689589789329627,1.050367128999724
5.8,-0.2,0.0323272738245516,-0.6125114568121722,1.0612678830696707
5.8,0.0,0.0296826180668466,-0.6361513931311578,1.0557510633975842
5.8,0.2,0.0763244111139756,-0.5706722846110939,0.8037918063494938
5.8,0.4,0.0738384280117758,-0.6378597857166812,0.9439825700183949
5.8,0.6,0.0612117006161946,-0.6709897530326389,1.0333790439656072
5.8,0.8,0.0649493070681942,-0.6536738121202155,0.5375542442736723
5.8,1.0,0.0633354906199968,-0.6600312386514653,0.8575171058413417
5.8,1.2,0.05639723140082639,-0.6847638357791738,0.925760012736894
5.8,1.4,0.05374405526422679,-0.7157922922932588,0.9435138255718745
5.8,1.6,0.04911023149341061,-0.6847121240830193,0.7831007266281913
5.8,1.8,0.0438172792820694,-0.7810465898087414,1.1934939230724002
5.8,2.0,0.0385838928412584,-0.8020499686562416,0.85930496836562
5.8,2.2,0.0365700910479756,-0.7248465572531986,0.9121924492686007
5.8,2.4,0.0345028106626422,-0.7387889622367037,0.5826427640773727
5.8,2.6,0.028944668133846,-0.8362926865539421,1.0216649933534805
5.8,2.8,0.0255084756209778,-0.8705409697212858,1.0930102030223006
5.8,3.0,0.0242764527875646,-0.8558681102898837,0.8084758652100368
5.8,3.2,0.0219551567549676,-0.8620489472423999,1.0303794573663145
5.8,3.4,0.0203960483786526,-0.8155188543811577,0.9914363119265251
5.8,3.6,0.0185668902841008,-0.8489869831477235,0.8972273303559039
5.8,3.8,0.016509241244089798,-0.8382282628467629,0.9359598067507653
5.6,-4.0,0.0170390965767696,-0.8656860432542184,1.2094100900658895
5.6,-3.8,0.0183041142492756,-0.8884293738917878,1.2075924719684161
5.6,-3.6,0.0215218396825518,-0.8096694232026901,0.9468289689311666
5.6,-3.4,0.023774234447181002,-0.7884243457156533,0.850204401011227
5.6,-3.2,0.0264433852946628,-0.8222621008773555,0.881950135833888
5.6,-3.0,0.024562018230675598,-0.9104895325280242,1.483542424407642
5.6,-2.8,0.0300667756874406,-0.8646792301417525,0.9416557766785517
5.6,-2.6,0.031205291313724202,-0.8331630660636823,1.0100936047357665
5.6,-2.4,0.0363862401748848,-0.8117087602963652,1.2118263359011971
5.6,-2.2,0.0342190663958988,-0.7903394177209766,0.9355285357751199
5.6,-2.0,0.033730802157422995,-0.7614747596812306,0.9643593399827972
5.6,-1.8,0.0320818456324104,-0.7972278122189546,0.8938610772638653
5.6,-1.6,0.0461155310611128,-0.7865146254943481,1.036785236441113
