ID_src,l,b,yield,alphaCadence,alphaTexp
953,1.8,-0.6,0.9978319301026423,-0.4440083814102607,0.7707077840491594
952,1.8,-0.4,0.8173424158830461,-0.4243769003182161,0.6522045949911437
951,1.8,-0.2,0.39402933767908255,-0.3571516980722013,0.5757615082975585
971,1.8,0.0,0.5999920639347281,-0.38331614228177524,0.47796127724647564
972,1.8,0.2,0.5621353297244598,-0.4026007892206312,0.8382357351793247
973,1.8,0.4,0.5374689164012958,-0.4007425825290951,0.5806327692764993
974,1.8,0.6,1.00528955222316,-0.4252814608741199,0.5338374513915765
975,1.8,0.8,1.1465902775243424,-0.4432226008217981,0.4913513573837681
976,1.8,1.0,1.1524469988456925,-0.45870040618772184,0.7398349878630602
977,1.8,1.2,1.0684560973832076,-0.45123119014558466,0.7212950474672354
978,1.8,1.4,0.8782962781484339,-0.46096924854845195,0.7125918784291722
979,1.8,1.6,0.7900351652566459,-0.47430371598709276,0.7935297761821478
980,1.8,1.8,0.6937894805140422,-0.441569259934118,0.5819382954174263
981,1.8,2.0,0.6222357323014266,-0.43147012091871384,0.6642971018741847
982,1.8,2.2,0.5607450633104208,-0.42692480475597894,0.5808436846243352
983,1.8,2.4,0.4517522555767962,-0.42101845171012414,0.6311073091153577
984,1.8,2.6,0.4048402269361404,-0.42112074542553446,0.4301821766235419
985,1.8,2.8,0.3217225433594046,-0.3899750150977057,0.5427788292676596
986,1.8,3.0,0.2478487470821712,-0.401985621713581,0.694859365685092
987,1.8,3.2,0.2100413882882742,-0.3699334664947883,0.6108244111041531
988,1.8,3.4,0.20521522846517637,-0.3502757762396262,0.4644364564367183
989,1.8,3.6,0.157168325130828,-0.36902531883330225,0.5659107403012714
990,1.8,3.8,0.1281320208740136,-0.35432857340015683,0.6997959083553476
930,1.6,-4.0,0.1569923254246308,-0.3259607807754178,0.5151955409726461
929,1.6,-3.8,0.18919688275877158,-0.31948395084397563,0.5874866960580676
928,1.6,-3.6,0.22686216421629482,-0.3523596504435156,0.5206062249371616
927,1.6,-3.4,0.255949471214289,-0.36340085056508825,0.7281703177915482
926,1.6,-3.2,0.3134470666399014,-0.3598033922147005,0.5521586482468773
925,1.6,-3.0,0.3506192354534742,-0.36743449092001174,0.5450129015768074
924,1.6,-2.8,0.41139342774505083,-0.4088754871044802,0.6228215142626772
923,1.6,-2.6,0.4705459157412204,-0.3962333791398933,0.5406773842458887
922,1.6,-2.4,0.5636259990416694,-0.44305025661677977,0.5717798123759891
921,1.6,-2.2,0.637560414736287,-0.4220239384745014,0.5966406921716287
920,1.6,-2.0,0.7007694898997142,-0.44004622201242916,0.700041817737739
919,1.6,-1.8,0.820219238354364,-0.48336792539617596,0.68635891978566
918,1.6,-1.6,0.9594290371448142,-0.4477746376474906,0.593271303432146
917,1.6,-1.4,0.9814902806776591,-0.4855704467553001,0.7215887143817546
916,1.6,-1.2,1.1003375867752585,-0.44061097916389114,0.5661467575013444
915,1.6,-1.0,1.1470167963058693,-0.4849827432101716,0.7412908241963201
914,1.6,-0.8,1.1543789281297463,-0.448265437831349,0.6528786310461805
913,1.6,-0.6,0.9814804156443797,-0.45724079218751496,0.6383822421911105
912,1.6,-0.4,0.9073030500504679,-0.42628948604564126,0.7335307858431341
911,1.6,-0.2,0.4791934464508446,-0.3737019437116986,0.5193102448954333
931,1.6,0.0,0.4829695748132562,-0.37083381559098566,0.6145720369610643
932,1.6,0.2,0.5793311743442868,-0.3982459890264144,0.6106990250658776
933,1.6,0.4,0.5996961248098229,-0.4214909752772516,0.7997483369262286
934,1.6,0.6,1.0145373986639525,-0.46419699348532795,0.6499768098269445
935,1.6,0.8,1.2187800130584168,-0.4523771278825923,0.7095990717217935
936,1.6,1.0,1.1746736408201262,-0.4761226734043188,0.7074286725918667
937,1.6,1.2,1.0895320525923071,-0.47063120754989085,0.7453868265953535
938,1.6,1.4,0.9849688751962902,-0.4680689776456102,0.6786569740810005
939,1.6,1.6,0.8946040285678254,-0.4482874389239372,0.6032463470547245
940,1.6,1.8,0.744366693466035,-0.4436141040393955,0.6337526755835008
